dataset,method,total_questions,contaminated_questions,contamination_rate,question_and_answer_contaminated,answer_contamination_rate
WebQuestions,exact,2032,137,6.74,67,3.3
WebQuestions,gpt2,2032,35,1.72,13,0.64
WebQuestions,gpt3,2032,1,0.05,1,0.05
WebQuestions,gpt4,2032,5,0.25,0,0.0
WebQuestions,palm,2032,35,1.72,13,0.64
SQuAD,exact,10570,116,1.1,46,0.44
SQuAD,gpt2,10570,299,2.83,219,2.07
SQuAD,gpt3,10570,26,0.25,23,0.22
SQuAD,gpt4,10570,137,1.3,90,0.85
SQuAD,palm,10570,299,2.83,219,2.07
HotpotQA,exact,7405,0,0.0,0,0.0
HotpotQA,gpt2,7405,680,9.18,335,4.52
HotpotQA,gpt3,7405,99,1.34,69,0.93
HotpotQA,gpt4,7405,236,3.19,161,2.17
HotpotQA,palm,7405,680,9.18,335,4.52
FreshQA,exact,500,21,4.2,9,1.8
FreshQA,gpt2,500,32,6.4,11,2.2
FreshQA,gpt3,500,0,0.0,0,0.0
FreshQA,gpt4,500,20,4.0,8,1.6
FreshQA,palm,500,32,6.4,11,2.2
SimpleQA,exact,4326,5,0.12,2,0.05
SimpleQA,gpt2,4326,488,11.28,149,3.44
SimpleQA,gpt3,4326,45,1.04,29,0.67
SimpleQA,gpt4,4326,149,3.44,98,2.27
SimpleQA,palm,4326,488,11.28,149,3.44
